ref,slug,stage,potential,sellerAskEUR,replacementCostEUR,marketComparableProxyEUR,incomeLicensingProxyEUR,technicalCompletionProbability,commercializationProbability,rightsTransferReserve,timeRiskFactor,probabilityAdjustedStrategicValueEUR,triangulatedEconomicReferenceEUR,askShareOfTriangulated
TA-IP-028,dominus-kraken-execution-engine,V,H,255000,850000,1075250,1319625,0.95,0.55,0.85,0.95,1084859,1071176,0.238056
TA-IP-029,autonomous-adaptation-framework,P,H,90000,650000,667144,559406,0.75,0.55,0.85,0.85,559367,603588,0.149108
TA-IP-030,resource-aware-hybrid-model-orchestration-platform,R,H,20000,250000,205563,194062,0.5,0.55,0.85,0.7,123741,185734,0.107681
TA-IP-031,veritas-evidence-intelligence,V,VH,375000,950000,1496250,2185000,0.95,0.7,0.85,0.95,2410403,1817391,0.20634
TA-IP-032,aerospace-mission-simulator,V,H,215000,850000,879750,975375,0.95,0.55,0.85,0.95,887612,894189,0.240441
TA-IP-033,mt2050-experimental-dynamics,V,M,155000,720000,583200,550800,0.95,0.4,0.85,0.95,347968,528589,0.293233
TA-IP-034,electric-flight-systems-simulation-validation-platform,P,M,50000,450000,309825,258188,0.75,0.4,0.85,0.85,153622,279870,0.178654
TA-IP-035,legalops-nl,P,H,50000,280000,301070,326025,0.75,0.55,0.85,0.85,252432,283770,0.176199
TA-IP-036,advanced-ground-vehicle-engineering,P,M,55000,450000,309825,258188,0.75,0.4,0.85,0.85,153622,279870,0.19652
TA-IP-037,biometric-systems-assurance-platform,V,H,240000,800000,966000,1188000,0.95,0.55,0.85,0.95,974632,971921,0.246934
TA-IP-038,truelane-engineering-excellence,P,H,80000,450000,483862,523969,0.75,0.55,0.85,0.85,405695,456059,0.175416
TA-IP-039,mothercode-research-engine,P,M,45000,400000,336600,229500,0.75,0.4,0.85,0.85,166898,271634,0.165664
TA-IP-040,integrated-media-production-engine,V,VH,430000,1200000,1800000,2520000,0.95,0.7,0.85,0.95,2899732,2178906,0.197347
TA-IP-041,evidence-governed-software-assurance-platform,V,VH,475000,1200000,1890000,2760000,0.95,0.7,0.85,0.95,3044719,2295652,0.206913
TA-IP-042,oraculum-infinitum,V,VH,275000,700000,1155000,1610000,0.95,0.7,0.85,0.95,1860662,1379232,0.199386
TA-IP-043,cipherroutedb,P,H,115000,850000,872419,731531,0.75,0.55,0.85,0.85,731480,789308,0.145697
TA-IP-044,axiomfactor,V,M,150000,700000,535500,535500,0.95,0.4,0.85,0.95,319508,501028,0.299384
TA-IP-045,latticedepth,V,H,255000,850000,830875,1319625,0.95,0.55,0.85,0.95,838300,936005,0.272434
TA-IP-046,isbr-securetrace,V,H,240000,800000,966000,1188000,0.95,0.55,0.85,0.95,974632,971921,0.246934
TA-IP-047,mercorion-commerce-compiler,V,VH,340000,950000,1567500,2090000,0.95,0.7,0.85,0.95,2525184,1852814,0.183505
TA-IP-048,sonicfabric,V,VH,540000,1500000,2250000,3300000,0.95,0.7,0.85,0.95,3624666,2753633,0.196105
TA-IP-049,kinetic-logic-reconstructor,P,H,95000,600000,645150,698625,0.75,0.55,0.85,0.85,540927,608079,0.15623
TA-IP-050,adaptive-biofeedback-engine,V,H,240000,800000,920000,1188000,0.95,0.55,0.85,0.95,928221,946477,0.253572
TA-IP-051,aletheia-intelligence-fabric,P,VH,200000,950000,1271812,1638750,0.75,0.7,0.85,0.85,1702639,1415536,0.141289
TA-IP-052,truelane-inkcore,P,H,70000,450000,439875,501188,0.75,0.55,0.85,0.85,368814,429798,0.162867
TA-IP-053,visionair-research-engine,P,M,50000,450000,378675,258188,0.75,0.4,0.85,0.85,187760,305589,0.163618
TA-IP-054,vision-evidence-governed-multimodal-perception-framework,P,S,50000,500000,327250,191250,0.75,0.25,0.85,0.85,93135,261297,0.191353
TA-IP-055,evidence-grounded-multi-expert-reasoning-system,P,H,80000,450000,483862,523969,0.75,0.55,0.85,0.85,405695,456059,0.175416
TA-IP-056,goldennet-signal-intelligence-platform,V,H,225000,750000,905625,1113750,0.95,0.55,0.85,0.95,913718,911176,0.246934
TA-IP-057,autonomous-documentary-engine,V,VH,230000,1050000,1575000,2205000,0.95,0.7,0.85,0.95,2537266,1906543,0.120637
TA-IP-058,multimodal-evidence-adaptive-systems-platform,P,H,115000,650000,667144,756844,0.75,0.55,0.85,0.85,559367,643076,0.178828
TA-IP-059,fusionlunar-energy-systems-engineering-platform,P,M,350000,2800000,1820700,1606500,0.75,0.4,0.85,0.85,902764,1701407,0.205712
TA-IP-060,temporal-physics-causality-research-platform,R,S,35000,800000,309400,204000,0.5,0.25,0.85,0.7,63219,324807,0.107756
TA-IP-061,industrial-predictive-maintenance-rul-platform,V,VH,360000,1000000,1575000,2200000,0.95,0.7,0.85,0.95,2537266,1893043,0.19017
TA-IP-062,adaptive-audio-production-system,P,H,95000,600000,586500,637875,0.75,0.55,0.85,0.85,491752,566988,0.167552
TA-IP-063,causal-state-field-engine,V,M,115000,450000,425250,465750,0.95,0.4,0.85,0.95,253727,379504,0.303027
TA-IP-064,evidence-governed-analytical-reasoning-platform,V,H,165000,500000,603750,776250,0.95,0.55,0.85,0.95,609145,614201,0.268642
TA-IP-065,software-asset-provenance-qualification-platform,V,H,230000,700000,845250,1086750,0.95,0.55,0.85,0.95,852803,859881,0.267479
TA-IP-066,adaptive-general-reasoning-research-platform,R,H,70000,1200000,986700,688500,0.5,0.55,0.85,0.7,593959,842926,0.083044
TA-IP-067,traceline-evidence-governed-investigation-framework,P,H,160000,900000,923737,1002375,0.75,0.55,0.85,0.85,774509,881301,0.18155
TA-IP-068,organismal-state-dynamics-research-platform,P,H,120000,900000,747787,774562,0.75,0.55,0.85,0.85,626983,748914,0.160232
TA-IP-069,chimera-spectral-perception-system,P,S,45000,400000,202300,153000,0.75,0.25,0.85,0.85,57574,191211,0.235342
TA-IP-070,hybrid-adaptive-rendering-media,P,VH,160000,900000,1147500,1417500,0.75,0.7,0.85,0.85,1536216,1275676,0.125424
TA-IP-071,adaptive-audio-synthesis-platform,P,H,115000,650000,635375,691031,0.75,0.55,0.85,0.85,532731,614237,0.187224
TA-IP-072,adaptive-cognitive-runtime,P,H,110000,700000,752675,602438,0.75,0.55,0.85,0.85,631081,666901,0.164942
TA-IP-073,content-integrity-assurance-platform,V,H,240000,1300000,1569750,1930500,0.95,0.55,0.85,0.95,1583778,1579372,0.151959
TA-IP-074,radioastronomy-signal-validation-platform,V,H,200000,1200000,1173000,1377000,0.95,0.55,0.85,0.95,1183482,1224219,0.163369
TA-IP-075,spatial-wearable-perception-platform,V,VH,320000,1800000,2970000,3060000,0.95,0.7,0.85,0.95,4784559,3330596,0.096079
TA-IP-076,telluric-actualization-research-platform,R,S,25000,300000,116025,76500,0.5,0.25,0.85,0.7,23707,121802,0.205251
TA-IP-077,qubo-structural-analysis-and-optimization-platform,P,M,90000,650000,422662,372938,0.75,0.4,0.85,0.85,209570,394970,0.227865
TA-IP-078,adaptive-neural-architecture-platform,P,H,125000,650000,698912,559406,0.75,0.55,0.85,0.85,586004,619265,0.201852
TA-IP-079,bio-inspired-neural-dynamics-active-inference-simulation-platform,P,H,145000,750000,623156,645469,0.75,0.55,0.85,0.85,522486,624095,0.232336
TA-IP-080,cardiosignal-intelligence-platform,P,H,110000,550000,456981,473344,0.75,0.55,0.85,0.85,383156,457670,0.240348
TA-IP-081,secure-actuation-integrity-platform,V,H,225000,850000,1026375,1262250,0.95,0.55,0.85,0.95,1035547,1032666,0.217883
